"°Å·¡ÀÏÀÚ","Ç°¸ñ¸í","¹ÝÀÔ·®","±Ý¾×","Àü³â ¹ÝÀÔ·®","Àü³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Àü³â ±Ý¾×","Àü³â ±Ý¾× Áõ°¨·ü(%)","Æò³â ¹ÝÀÔ·®","Æò³â ¹ÝÀÔ·® Áõ°¨·ü(%)","Æò³â ±Ý¾×","Æò³â ±Ý¾× Áõ°¨·ü(%)"
"2024-12-24","³ì±¤","3284","12294200",,"0.0",,"0.0","3937","-16.6","12376753","-0.7"
"2024-12-23","³ì±¤","3528","14282750","3324","6.1","10302600","38.6","3583","-1.5","10793080","32.3"
"2024-12-22","³ì±¤",,,"1281","0.0","4709900","0.0","3392","0.0","9002195","0.0"
"2024-12-21","³ì±¤","2750","9705000","2518","9.2","5639000","72.1","3324","-17.3","8007477","21.2"
"2024-12-20","³ì±¤","3197","10243000","2265","41.1","4668600","119.4","3471","-7.9","7918345","29.4"
"2024-12-19","³ì±¤","5380","17542400","5520","-2.5","9613700","82.5","3725","44.4","7678075","128.5"
"2024-12-18","³ì±¤","3376","12413600","5839","-42.2","12746800","-2.6","3637","-7.2","7808243","59.0"
"2024-12-17","³ì±¤","2875","9808100",,"0.0",,"0.0","3598","-20.1","7230525","35.6"
"2024-12-16","³ì±¤","4945","16964050","5305","-6.8","11949700","42.0","3951","25.2","7545498","124.8"
"2024-12-15","³ì±¤",,,"3262","0.0","7491100","0.0","4395","0.0","8705905","0.0"
"2024-12-14","³ì±¤","3063","8574600","5616","-45.5","13245800","-35.3","4434","-30.9","8984441","-4.6"
"2024-12-13","³ì±¤","1880","4700000","3498","-46.3","8850700","-46.9","4709","-60.1","9431934","-50.2"
"2024-12-12","³ì±¤","3690","8444800","2906","27.0","6835800","23.5","4894","-24.6","9596838","-12.0"
"2024-12-11","³ì±¤","4553","10815500","4630","-1.7","12144250","-10.9","4787","-4.9","9805639","10.3"
"2024-12-10","³ì±¤","4274","10803200",,"0.0",,"0.0","4545","-6.0","9867243","9.5"
"2024-12-09","³ì±¤","4842","12071500","5400","-10.3","14111000","-14.5","4449","8.8","10254477","17.7"
"2024-12-08","³ì±¤",,,"4012","0.0","11686150","0.0","4459","0.0","10493517","0.0"
"2024-12-07","³ì±¤","3324","8322100","4050","-17.9","13691100","-39.2","4394","-24.4","11501035","-27.6"
"2024-12-06","³ì±¤","4513","11392200","4709","-4.2","15126800","-24.7","4258","6.0","10710985","6.4"
"2024-12-05","³ì±¤","3989","11295500","4370","-8.7","15022050","-24.8","4168","-4.3","10090630","11.9"
